frame,cpu_ms,gpu_ms,draw_calls,cpu_avg_ms,cpu_p95_ms,cpu_p99_ms,gpu_avg_ms,gpu_p95_ms,gpu_p99_ms,terrain_gpu_ms,ui_gpu_ms,vegetation_gpu_ms,vegetation_shadows_gpu_ms
58,3.539,9.524,1510,4.382,5.780,6.526,8.869,9.595,9.828,1.367,0.077,2.371,5.709
59,3.964,8.209,1510,4.374,5.777,6.519,8.858,9.587,9.828,1.302,0.091,2.358,4.459
60,3.736,9.430,1510,4.364,5.774,6.513,8.867,9.580,9.827,2.538,0.076,2.355,4.460
61,4.513,9.384,1510,4.366,5.771,6.507,8.876,9.572,9.827,1.309,0.084,3.539,4.452
62,4.168,8.191,1510,4.363,5.755,6.500,8.865,9.569,9.827,1.300,0.078,2.357,4.456
63,3.895,9.405,1510,4.356,5.739,6.494,8.873,9.567,9.827,1.310,0.077,2.344,5.674
64,5.250,8.202,1510,4.370,5.722,6.487,8.863,9.565,9.827,1.311,0.079,2.352,4.459
65,4.271,9.438,1510,4.368,5.706,6.481,8.872,9.562,9.827,1.322,0.077,2.352,5.687
66,4.927,8.206,1510,4.377,5.689,6.475,8.861,9.560,9.827,1.296,0.090,2.359,4.461
67,4.110,8.068,1510,4.373,5.673,6.468,8.850,9.557,9.826,1.159,0.088,2.357,4.463
68,4.501,9.409,1510,4.374,5.657,6.462,8.858,9.555,9.826,1.301,0.078,3.563,4.467
69,4.019,8.252,1510,4.369,5.640,6.455,8.849,9.553,9.826,1.310,0.102,2.357,4.483
70,4.136,9.570,1512,4.366,5.624,6.449,8.859,9.571,9.826,1.419,0.092,2.350,5.710
71,4.802,8.276,1512,4.372,5.607,6.442,8.851,9.571,9.826,1.364,0.076,2.350,4.486
72,4.835,9.598,1512,4.379,5.591,6.436,8.862,9.584,9.826,1.377,0.090,2.361,5.769
73,5.683,9.391,1512,4.396,5.719,6.430,8.869,9.582,9.825,1.308,0.085,3.516,4.481
74,4.314,8.276,1512,4.395,5.714,6.423,8.861,9.581,9.825,1.322,0.075,2.360,4.519
75,4.006,9.757,1512,4.390,5.710,6.417,8.873,9.636,9.825,1.317,0.090,2.351,5.998
76,3.683,8.263,1512,4.381,5.705,6.410,8.865,9.630,9.825,1.328,0.079,2.351,4.504
77,3.610,9.473,1512,4.371,5.701,6.404,8.873,9.623,9.825,1.344,0.076,2.349,5.703
78,4.534,8.292,1512,4.373,5.697,6.398,8.865,9.617,9.825,1.322,0.089,2.361,4.520
79,3.705,8.095,1512,4.364,5.692,6.391,8.855,9.610,9.825,1.182,0.080,2.352,4.481
80,4.769,9.449,1512,4.369,5.688,6.385,8.863,9.604,9.824,1.310,0.080,3.538,4.521
81,4.058,8.259,1512,4.366,5.683,6.378,8.855,9.598,9.824,1.328,0.091,2.360,4.480
82,4.118,9.365,1512,4.363,5.671,6.372,8.862,9.597,9.824,1.287,0.079,2.352,5.647
83,4.122,8.276,1512,4.360,5.659,6.365,8.855,9.595,9.824,1.354,0.076,2.351,4.495
84,4.414,9.552,1512,4.360,5.647,6.359,8.863,9.594,9.824,1.327,0.087,2.355,5.783
85,5.857,8.273,1512,4.378,5.754,6.353,8.856,9.593,9.824,1.327,0.103,2.358,4.485
86,3.786,8.259,1512,4.371,5.749,6.346,8.849,9.591,9.823,1.317,0.078,2.353,4.511
87,5.822,9.870,1512,4.388,5.807,6.340,8.861,9.687,9.841,1.376,0.077,2.356,6.061
88,3.771,8.277,1512,4.381,5.804,6.333,8.854,9.680,9.841,1.336,0.079,2.361,4.502
89,3.874,9.415,1512,4.375,5.802,6.327,8.860,9.674,9.840,1.307,0.076,2.351,5.682
90,4.950,8.293,1512,4.381,5.799,6.321,8.854,9.668,9.840,1.325,0.105,2.381,4.482
91,3.835,9.648,1512,4.375,5.797,6.314,8.863,9.687,9.840,2.690,0.099,2.350,4.508
92,4.727,9.408,1512,4.379,5.794,6.308,8.869,9.683,9.839,1.340,0.078,2.356,5.634
93,5.243,8.224,1512,4.389,5.792,6.301,8.862,9.679,9.839,1.274,0.078,2.380,4.492
94,5.050,9.336,1512,4.396,5.789,6.295,8.867,9.675,9.839,1.310,0.079,2.351,5.596
95,3.742,8.243,1512,4.389,5.787,6.288,8.860,9.671,9.838,1.325,0.075,2.358,4.485
96,3.623,9.509,1512,4.381,5.784,6.282,8.867,9.667,9.838,1.361,0.092,2.355,5.701
97,4.263,9.459,1512,4.380,5.782,6.276,8.873,9.664,9.838,1.336,0.089,3.550,4.484
